puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
3HKVimd_Ay9zElV_ujkBChD3NLBEegDBLfGwAKqh9VDd68jklk578vq566ySMxJnT3Pvm6SWNG6few,False,JUNGLE,NONE,TOP,TOP,5,5,156,True,1794,False,True,2,False,False,False,False,0,0,0,0,0,10,0,0,0,1,0,0,0,0,5,0,3,0,0,2,0,0,10255,10000,0,1,13,0,2,1,1116,70303,12914,4125,4,0,0,0,1,37559,3005,7839,0,21,19,0,59,1,4,2,14,False,100,17,118209,16048,0,13476,971,0,217,206,1,10345,128,1511,1,8,0,18
IvBsXf8Jjtw_WvpsdUIRyrxkzKK8FCsL-TD_aIxDz_xm7zQcxB9OPp5xNcY_DyOCKMFbILJBSND4ew,False,JUNGLE,NONE,JUNGLE,JUNGLE,3,9,18,True,1794,False,True,0,False,False,False,False,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9548,9400,0,1,17,0,0,1,408,56208,9918,11642,80,0,0,0,2,13551,755,23629,0,74,75,128,15,4,4,12,11,False,100,16,95298,11638,0,36586,12058,0,362,281,1,25537,964,1314,0,8,0,16
kS6R05XxQoYz67KGDqUwjolWMMuRqU4UtJ7Rkf29busjratBe5k_xdfJ1dHUe2Rmk5R6SMNsBCaOZA,False,MIDDLE,SOLO,MIDDLE,MIDDLE,4,5,151,True,1794,False,True,1,False,False,False,False,0,0,0,0,1,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9591,8985,0,1,14,0,3,1,559,106540,29506,7413,0,0,0,0,3,16687,454,8620,0,95,95,71,11,4,4,6,14,False,100,25,132337,31316,0,16266,2361,0,161,171,1,9109,1356,232,0,8,0,14
LM5Nj5kzqE9GTmn6F6_h049umaMxnGEbHL7eK5A68lfLafKAalPWPQ4EJH4IzjnF_wGwtLP4PXNiQQ,False,BOTTOM,CARRY,BOTTOM,BOTTOM,8,6,189,True,1794,False,True,2,False,False,False,False,0,0,0,0,3,10,3,3,0,1,0,0,0,0,17,4,0,0,0,5,0,0,12756,11075,0,1,24,754,3,1,588,25510,4640,5702,8,0,0,0,4,87065,9651,13250,0,483,54,40,9,4,4,5,6,False,100,3,133612,14462,0,19286,2432,0,59,194,1,21036,170,334,1,8,0,26
FixnFpXKqrHz2fR2_1z98sCWLSP1-7HVKLv--rQyjfOFotNXrswCh9grbjcl_fUmKpu0j7nSLjzNYA,False,BOTTOM,SUPPORT,UTILITY,UTILITY,1,9,33,True,1794,False,True,0,False,False,False,False,0,0,0,0,2,15,4,3,0,1,0,0,0,0,6,0,0,0,0,31,0,0,8271,8000,0,1,18,0,0,1,695,43557,10879,5720,0,0,0,0,5,1934,422,10902,0,102,45,76,8,7,4,6,7,False,100,26,45492,11301,1057,17488,2612,1016,240,273,5,0,0,865,2,8,0,36
PYriqNSc9b9snWwEHa12C2zQgK27wI5_9yZ2RBLjsJdjqru_O3qzkDZAt3_eHNcUt2Qfh_1ujmn8DQ,True,TOP,SOLO,TOP,TOP,5,2,164,True,1794,False,True,1,True,False,False,False,1,0,0,0,0,4,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,10981,8900,0,0,15,0,5,2,1112,274,99,11371,8,0,0,0,6,101629,7671,10171,0,44,17,43,3,4,4,3,14,False,200,24,125058,10603,0,22658,3863,0,97,81,1,23154,2832,1114,2,3,0,11
Wm_DVSaNLjGnDoLWzmCfmBwWyyNz4h_6efflAqhglHDIhPQm3JVkuXBamwN5JKuzraoA7CYyPc2Phg,True,JUNGLE,NONE,JUNGLE,JUNGLE,12,2,32,True,1794,False,True,2,False,True,False,False,1,0,0,0,1,3,4,3,0,2,4,0,0,0,7,0,4,0,1,44,2,0,14152,13875,1,0,21,408,10,2,1032,3055,585,11321,164,0,0,0,7,213962,18182,15179,0,125,36,52,11,22,11,5,4,False,200,16,261070,19878,0,27003,17967,0,558,16,1,44052,1110,502,3,3,0,23
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,MIDDLE,SOLO,MIDDLE,MIDDLE,9,6,186,True,1794,False,True,2,False,False,False,True,1,0,0,0,0,7,0,0,0,2,0,0,0,0,2,1,0,0,1,8,0,0,13260,13850,0,0,18,0,3,2,552,182470,24183,25022,11,0,0,0,8,11448,861,4901,0,251,60,349,4,4,12,5,4,False,200,23,193918,25045,0,30446,6623,0,128,237,1,0,0,522,3,3,0,12
K1Xu2RHvKXpsqeQU4Ig1lznyzl5FHXlc7MzFmQguZ-q7yf46KgudvRFYWNMPnYiC3WEEK8Gq-y_htQ,True,BOTTOM,CARRY,BOTTOM,BOTTOM,6,3,183,True,1794,False,True,2,False,False,False,False,0,0,0,0,3,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12017,11600,1,0,17,1057,3,1,667,1494,664,9954,0,0,0,0,9,139910,16203,3582,0,61,37,16,5,4,4,4,7,False,200,17,149554,17183,0,13536,4924,548,109,93,3,8150,315,0,2,3,0,16
CBeds1TM9GqRA3kbTgQWrIg4jTv3bI1lWmnlBM5vnrm0xbbEKM2ypd159ZycMfGoqrUH7XlVGQ-Yyw,True,BOTTOM,SUPPORT,UTILITY,UTILITY,1,8,49,True,1794,False,True,0,False,False,False,False,0,0,0,0,4,30,3,3,0,0,0,0,0,0,16,1,2,0,1,3,0,0,8548,8175,0,0,26,0,0,1,424,22887,7296,13171,4,0,0,0,10,8464,1196,7558,0,54,29,25,9,6,3,6,4,False,200,43,34105,8492,2568,21209,552,0,263,207,1,2752,0,479,2,3,0,58
