puuid,win,lane,role,teamPosition,individualPosition,kills,deaths,totalMinionsKilled,eligibleForProgression,timePlayed,gameEndedInEarlySurrender,gameEndedInSurrender,killingSprees,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,doubleKills,tripleKills,quadraKills,pentaKills,wardsKilled,wardsPlaced,visionWardsBoughtInGame,detectorWardsPlaced,objectivesStolen,turretKills,dragonKills,inhibitorKills,nexusKills,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings,visionClearedPings,goldEarned,goldSpent,inhibitorTakedowns,inhibitorsLost,itemsPurchased,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusLost,nexusTakedowns,objectivesStolenAssists,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,teamEarlySurrendered,teamId,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretTakedowns,turretsLost,unrealKills,visionScore
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,BOTTOM,NONE,JUNGLE,JUNGLE,8,2,168,True,1162,True,True,4,True,True,True,False,1,1,1,1,6,3,0,3,3,1,0,2,1,4,10,8,1,2,3,2,1,1,9428,14585,0,0,23,802,0,2,328,11911,3751,787,15,0,1,0,10,13260,6220,1762,1,16,42,24,2,11,6,31,30,True,200,69,27591,6525,1844,12534,2308,1504,47,190,1,1427,817,244,2,1,1,28
EtKQngvFHsjG5cXyPH7L4E74TveZgif1QBC1LilQ01LN4Ep7ZHt9kmiAFhijHNFu,True,JUNGLE,CARRY,JUNGLE,MIDDLE,5,4,156,False,2931,False,True,5,True,True,True,True,0,2,1,1,8,10,0,2,3,0,0,0,1,2,2,0,4,4,0,2,3,2,9237,13788,1,1,18,1239,6,2,569,10645,3310,1319,41,0,0,2,7,17237,6089,843,1,36,36,41,2,17,22,30,26,True,100,178,27180,7271,30,14251,4688,219,39,169,5,1405,508,369,3,2,0,43
dAINvsSEgV1i0Z5NeDREmTyTtswq4sZ5JnrCom6FUG7YWgiPrYtdmPdEWkHcJmkJ,False,TOP,SOLO,TOP,TOP,13,1,226,True,2648,False,True,2,False,False,True,True,1,0,0,1,8,1,0,3,2,0,1,2,1,10,5,6,1,0,4,1,3,5,18667,12777,3,0,18,947,1,0,643,7004,3376,1986,42,0,1,3,1,15658,6943,1866,3,45,37,31,5,33,2,29,19,True,200,170,16431,3026,1526,12748,3384,1913,80,239,1,1446,564,495,4,1,1,32
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,TOP,NONE,JUNGLE,BOTTOM,9,2,188,True,2248,True,True,1,False,False,True,True,1,2,0,0,0,3,0,2,2,5,0,2,0,4,7,3,4,4,3,5,3,2,15473,11720,1,1,21,1053,2,2,798,8666,2198,1988,19,0,0,0,9,7047,1949,1687,0,41,11,19,5,31,26,39,21,False,200,159,13465,9373,138,8285,1095,1504,61,263,3,710,577,246,1,0,0,22
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,JUNGLE,NONE,MIDDLE,BOTTOM,12,2,282,True,2481,False,True,4,False,True,False,True,1,3,0,0,10,15,1,2,0,0,2,2,0,1,9,5,2,3,1,5,0,2,8963,9751,3,2,25,1285,3,3,462,6184,2485,1078,40,1,0,0,7,5557,1217,1857,1,12,12,17,3,26,26,14,10,True,100,150,29805,6222,367,14972,1083,100,95,253,2,1670,190,245,2,3,1,21
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,BOTTOM,NONE,BOTTOM,TOP,1,7,292,False,2382,False,True,4,True,False,True,True,2,3,0,0,7,6,2,1,3,0,0,1,0,1,5,6,1,1,0,4,2,1,18869,14379,3,0,16,1107,1,0,360,6321,3420,678,32,0,1,2,8,7704,6929,1223,2,34,13,11,4,16,22,25,29,False,200,119,15574,5830,813,9401,3473,1629,60,123,3,1352,435,375,1,1,0,15
VI1ma9wZ8YgDpc71lmR4ervooIY5gXHt3SVBzEfmAA9OJ2UcMcZBSi9W2Mc45UJB,False,JUNGLE,SUPPORT,MIDDLE,BOTTOM,15,12,283,True,2027,False,True,3,True,False,True,False,4,1,0,0,7,7,0,3,0,3,1,1,0,1,4,7,5,3,5,0,3,4,8174,10352,0,1,23,729,7,3,436,5570,3025,1339,35,0,0,1,10,7326,3886,2724,1,50,40,21,1,34,5,28,3,True,200,84,18617,4116,1111,8270,4557,425,65,285,4,1566,935,244,2,2,0,34
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,True,TOP,SOLO,BOTTOM,BOTTOM,0,6,270,True,2544,False,True,2,False,True,True,False,0,3,0,0,0,15,1,1,0,4,0,2,1,5,6,0,1,3,3,2,3,5,17003,13925,0,2,18,1280,8,0,429,14599,4932,722,49,1,0,3,2,9080,4189,2999,1,43,32,31,3,25,1,32,24,False,200,108,10277,3360,295,5011,1704,1553,41,129,3,1938,356,442,2,1,0,48
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,BOTTOM,NONE,MIDDLE,MIDDLE,12,13,192,False,2558,True,True,1,False,False,False,True,2,2,1,1,4,1,3,2,1,1,3,0,1,2,7,7,5,4,5,2,0,4,17779,10215,0,1,29,1401,2,1,568,6149,2102,961,19,1,0,1,6,7854,2200,1742,0,18,40,40,3,16,4,39,30,False,200,161,26061,2234,522,11956,4825,1773,35,179,3,1759,116,300,1,0,1,26
_Euf38_V0HyPLEZt6GLy9m4C5h4ruRrYH4PYnjRwz8TqgUlnbGOxxEeIHmTqODNy8ivAviDWNPgSAg,False,TOP,NONE,JUNGLE,JUNGLE,9,0,144,False,2586,False,False,0,False,True,False,True,2,2,0,1,6,5,3,2,0,4,0,1,0,5,9,5,1,4,5,4,0,5,13306,9131,2,0,22,1146,7,0,632,8413,4048,1330,10,1,1,1,10,14065,5742,1338,3,32,12,28,2,38,13,45,25,True,100,101,13353,9542,180,5355,1534,1580,75,278,2,1702,512,293,3,0,0,28
